CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;22/12/2015;2;0,19;R
ES0000000000000000AA;22/12/2015;3;0,156;R
ES0000000000000000AA;22/12/2015;4;0,118;R
ES0000000000000000AA;22/12/2015;5;0,135;R
ES0000000000000000AA;22/12/2015;6;0,138;R
ES0000000000000000AA;22/12/2015;7;0,136;R
ES0000000000000000AA;22/12/2015;8;0,245;R
ES0000000000000000AA;22/12/2015;9;0,247;R
ES0000000000000000AA;22/12/2015;10;0,344;R
ES0000000000000000AA;22/12/2015;11;0,328;R
ES0000000000000000AA;22/12/2015;12;0,297;R
ES0000000000000000AA;22/12/2015;13;0,206;R
ES0000000000000000AA;22/12/2015;14;0,141;R
ES0000000000000000AA;22/12/2015;15;0,179;R
ES0000000000000000AA;22/12/2015;16;0,21;R
ES0000000000000000AA;22/12/2015;17;0,209;R
ES0000000000000000AA;22/12/2015;18;0,188;R
ES0000000000000000AA;22/12/2015;19;0,198;R
ES0000000000000000AA;22/12/2015;20;0,203;R
ES0000000000000000AA;22/12/2015;21;0,206;R
ES0000000000000000AA;22/12/2015;22;0,24;R
ES0000000000000000AA;22/12/2015;23;0,193;R
ES0000000000000000AA;22/12/2015;24;0,192;R
ES0000000000000000AA;23/12/2015;1;0,195;R
